cvegeo,intralinks,size,grado,fuerza,longitude,latitude
1512100010799,"",21,44,59,-99.21557593030309,19.677598424908773
1512100011689,6.0,69,123,188,-99.26107743922734,19.61080508926875
1512100011706,"",56,92,257,-99.24981225207098,19.610190769895105
1512200011050,16.0,79,32,46,-98.9487306998714,19.294305810145342
0900500011082,14.0,178,102,135,-99.14310063967011,19.489924210025016
0900700014645,10.0,88,75,204,-99.0491025681185,19.372774938795622
0900700015126,35.0,178,208,1514,-99.06196191676513,19.35675077073801
0900700015662,19.0,113,112,184,-99.04436328977529,19.369668723086093
0900800010565,55.0,153,85,179,-99.25655504522703,19.30633798512088
0900900360223,19.0,76,36,51,-98.99996837006933,19.179737895018903
0901000010046,83.0,238,189,442,-99.20480372987211,19.397641784865307
0901000010563,103.0,357,111,262,-99.21828194974388,19.373467005174366
0901000012339,25.0,264,94,142,-99.24567905439594,19.371975685066225
0901100111041,92.0,149,207,889,-98.95512859474167,19.22572450016792
0901200011439,32.0,153,67,93,-99.21425271980348,19.27482801501717
0901500010856,134761.0,3280,232,5685,-99.15429819000582,19.429364899975802
0901500011430,6.0,100,42,51,-99.17010653007792,19.40305073980448
1305100270685,"",7,5,11,-98.71369977902381,20.06278949608405
1306900010247,0.0,0,0,0,-98.97304993850008,19.816776011686443
1306900440887,"",10,1,1,-98.95471718811766,19.875427715382408
1501300010274,"",74,73,108,-99.23613653000581,19.601966964900473
1501700010038,"",3,4,6,-98.80921044061594,19.12837695538526
1502500011930,"",36,36,57,-98.9027090547073,19.249137854925774
1503100011410,6.0,49,64,110,-98.9305713100972,19.447243130298542
1503300011754,204.0,300,184,331,-99.02254084469732,19.517297240196495
1503300012362,7.0,82,19,38,-99.03988124024681,19.53956110008258
1503901511705,1.0,33,44,63,-98.84137898028519,19.299487163057805
1505700010048,33.0,155,68,128,-99.23848098509282,19.518406139880128
1505700012006,89.0,234,80,154,-99.26772721764081,19.508952878275213
1505700012152,54.0,197,88,223,-99.27086428481087,19.454760634895397
1505800010543,70.0,263,157,290,-98.99258468006754,19.40727106006115
1505800011518,67.0,256,150,283,-99.04188539482645,19.47302881735314
1506000010876,0.0,0,0,0,-99.30806332978057,19.59401960491776
1506200010226,"",4,1,1,-99.45657087523419,19.26598689027226
1507000171086,76.0,148,88,168,-98.94336193017325,19.37055811519096
1507000401387,15.0,127,49,90,-98.95008655002769,19.337939409746966
150910001004A,1.0,33,25,42,-99.17346200014336,19.743093095002543
1510400011033,12.0,76,25,39,-99.1946077848699,19.515102644947888
1510600832727,"",4,4,6,-99.65040540530597,19.348327344918776
090020001067A,75.0,301,106,178,-99.18454560652901,19.472213185230835
0900300011586,10.0,24,44,54,-99.17421057944722,19.30725599632639
0900500010012,20.0,128,85,202,-99.13508139140995,19.568779614900684
0900500010667,23.0,170,58,102,-99.10487636023433,19.506077829797153
090050001135A,57.0,257,132,732,-99.07177766960811,19.48749533489568
0900500012856,48.0,191,192,887,-99.13986267003398,19.51488398525383
0900600011107,50.0,213,183,381,-99.09192470010224,19.397814725009624
0900700014109,87.0,244,155,361,-99.03102363514594,19.324458839845683
0900700014912,51.0,270,188,389,-99.08009303186451,19.357475945032363
0901200010318,16.0,131,38,47,-99.22836572969865,19.2945460201211
0901200011072,77.0,484,252,463,-99.17799745967798,19.27697701467222
0901200011513,33.0,200,69,158,-99.22513112199107,19.268729274976053
0901200271782,37.0,183,119,273,-99.1347336649637,19.20160561046179
0901600010374,27.0,214,157,619,-99.19755971508772,19.449116044988585
1308200030338,"",2,2,2,-98.86583886840569,19.994732941799604
1501300011766,1.0,54,48,72,-99.2589586150939,19.595020659886487
1502400010032,2.0,18,159,2221,-99.1799140851815,19.67094196984734
150251042,1.0,69,85,134,-98.92075785512073,19.21688229514473
1503300012150,"",27,9,17,-98.99714887528985,19.640253370080636
1503300012964,"",27,68,183,-99.06502120000243,19.612607545221227
1503500190125,1.0,16,36,48,-99.1862400698194,19.820951463655195
150390711,"",40,68,86,-98.83021874014469,19.350079529948257
